row,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
ND,47,73,292,40,442,364,17,10,3,271,90,33,108,158,68,171,70,34,95,21,55,34,161,3872,32,98,572,172,126,15,37,79,117,107,258096,111,97,119,79,5,44,739,84,435,90,10,91,271,17,245,217
OH,820,241,1613,365,3943,1119,494,202,212,7526,2491,382,166,3046,4631,503,513,5229,514,201,1253,947,5285,654,376,1143,148,259,766,174,1262,315,3065,2920,110,4513533,508,363,4744,154,1352,118,2004,3232,402,119,2538,932,2594,848,109
OK,397,267,1137,2866,3362,1392,118,44,26,1970,985,241,188,961,488,416,2850,302,731,77,319,194,706,366,366,2278,151,363,562,69,259,744,731,819,98,631,1236725,368,424,49,351,158,771,9961,291,32,742,837,93,336,196
OR,151,915,2461,193,12834,1432,189,46,124,1320,509,862,2013,967,457,318,331,189,216,153,393,537,801,657,116,567,882,200,1646,156,287,493,1139,590,128,669,340,1357805,604,58,203,149,362,1839,952,155,652,9996,69,579,277
PA,498,220,1371,237,4285,1096,1380,2966,608,8376,2148,375,163,1696,1090,336,362,622,395,389,7574,2124,1745,588,246,756,173,182,689,432,15116,273,14333,3630,72,4797,378,381,4962767,417,1469,84,1105,2906,399,263,4875,909,1618,587,106
RI,40,20,119,20,579,102,1198,17,44,1045,191,69,10,179,56,32,25,38,35,187,162,3658,103,53,30,57,11,18,67,259,364,29,1063,260,3,144,18,48,336,407788,105,3,86,246,18,113,327,141,11,64,6
SC,908,149,585,254,2038,567,862,195,157,6563,6678,303,80,1075,874,206,352,697,432,245,1640,914,1689,289,436,552,77,134,304,336,1999,228,3890,11166,69,2559,307,342,2481,228,1588802,72,1658,2154,173,166,3277,722,570,486,61
SD,55,105,447,60,668,614,31,15,11,351,104,47,111,234,115,1112,204,50,37,33,64,60,183,1904,35,244,237,978,190,15,38,117,118,136,708,153,107,133,120,7,53,309148,74,541,133,12,127,294,22,286,467
TN,3386,223,971,1730,3476,854,394,130,137,8775,6334,319,183,2886,2248,437,514,4790,1156,203,937,612,3117,520,4732,1467,149,252,497,189,796,267,2005,3505,81,2891,611,406,1298,107,1652,107,2242902,3867,281,124,3412,788,406,863,92
TX,3263,1260,7744,5878,26737,7498,1354,388,545,17318,8133,1990,1004,8323,3756,2100,4446,2338,11813,612,3428,2416,6324,2937,3364,5405,714,1867,3605,550,3273,6744,7491,6298,481,5338,10029,1900,3988,406,2498,599,4691,8164269,2008,208,6937,5200,535,2750,824
UT,139,239,2501,147,5670,1601,157,31,50,1006,419,454,2501,587,274,159,206,172,141,94,271,254,471,306,96,409,457,219,2427,99,222,554,565,410,82,426,239,946,402,39,176,120,266,1548,865851,97,582,1594,44,283,782
VT,23,42,119,21,404,166,471,17,36,634,100,29,20,123,50,21,18,37,32,315,151,1089,98,54,14,43,46,15,61,1321,278,36,1344,223,7,113,16,79,299,116,94,12,90,153,62,257494,209,115,20,54,30
VA,1304,445,1528,410,7406,1564,1367,708,4428,9818,4633,1221,363,2626,1228,490,753,1140,971,590,13105,2161,2598,783,693,1105,198,374,778,586,3867,599,7588,10840,122,3312,745,518,6203,531,2936,136,3115,5707,591,308,2920571,1849,2486,868,141
WA,533,1874,4183,352,17270,2561,551,88,267,3314,1805,1898,4346,2141,814,546,833,490,498,278,945,1057,1796,1407,310,1097,1882,430,2463,244,834,787,2303,1656,288,1456,829,11369,1302,168,702,290,893,4811,1548,182,1866,2467871,133,970,422
WV,154,44,163,71,322,142,89,72,76,1395,420,66,30,216,254,36,77,660,84,38,2331,104,307,54,67,114,37,25,81,42,247,45,375,1356,15,2971,96,60,1529,18,458,18,418,459,56,21,2681,136,648451,78,36
WI,259,191,1311,282,2309,848,237,66,93,2250,766,176,144,8114,1098,1362,353,329,210,98,332,333,2742,6272,231,741,187,306,486,110,323,207,919,758,184,999,249,322,692,48,307,226,610,1566,246,52,641,715,74,2274814,133
WY,78,143,535,88,1018,1795,45,10,12,405,175,50,619,243,146,163,200,76,101,45,71,65,676,293,56,247,946,584,375,36,49,202,144,213,158,218,175,359,190,8,81,662,133,687,962,34,164,441,31,218,205123
